,AAPL,GOOG,META
Equal_Weight,0.3333333333333333,0.3333333333333333,0.3333333333333333
Max_40,0.40000000000000785,0.40000000000000785,0.19999999999998436
Max_50,0.5000000000000021,0.49999999999999795,0.0
Max_75,0.25000000000000216,0.7499999999999979,0.0
Max_100,0.20768439186037754,0.7923156081396223,0.0
