Date,AAPL,MSFT,NVDA,GOOG,META,^GSPC
2025-07-28,214.0500030517578,512.5,176.75,193.4199981689453,717.6300048828125,6389.77001953125
2025-07-29,211.2700042724609,512.5700073242188,175.50999450683594,196.42999267578125,700.0,6370.85986328125
2025-07-30,209.0500030517578,513.239990234375,179.27000427246094,197.44000244140625,695.2100219726562,6362.89990234375
2025-07-31,207.57000732421875,533.5,177.8699951171875,192.8600006103516,773.4400024414062,6339.39013671875
2025-08-01,202.3800048828125,524.1099853515625,173.72000122070312,189.9499969482422,750.010009765625,6238.009765625
2025-08-04,203.3500061035156,535.6400146484375,180.0,195.75,776.3699951171875,6329.93994140625
2025-08-05,202.9199981689453,527.75,178.25999450683594,195.32000732421875,763.4600219726562,6299.18994140625
2025-08-06,213.25,524.9400024414062,179.4199981689453,196.9199981689453,771.989990234375,6345.06005859375
2025-08-07,220.02999877929688,520.8400268554688,180.7700042724609,197.27999877929688,761.8300170898438,6340.0
2025-08-08,229.3500061035156,522.0399780273438,182.6999969482422,202.08999633789065,769.2999877929688,6389.4501953125
2025-08-11,227.17999267578125,521.77001953125,182.05999755859372,201.6300048828125,765.8699951171875,6373.4501953125
2025-08-12,229.6499938964844,529.239990234375,183.16000366210935,204.16000366210935,790.0,6445.759765625
2025-08-13,233.3300018310547,520.5800170898438,181.58999633789065,203.02999877929688,780.0800170898438,6466.580078125
2025-08-14,232.77999877929688,522.47998046875,182.0200042724609,203.82000732421875,782.1300048828125,6468.5400390625
2025-08-15,231.58999633789065,520.1699829101562,180.4499969482422,204.91000366210935,785.22998046875,6449.7998046875
2025-08-18,230.88999938964844,517.0999755859375,182.00999450683597,204.2899932861328,767.3699951171875,6449.14990234375
2025-08-19,230.55999755859372,509.7699890136719,175.63999938964844,202.4900054931641,751.47998046875,6411.3701171875
2025-08-20,226.00999450683597,505.7200012207031,175.39999389648438,200.19000244140625,747.719970703125,6395.77978515625
2025-08-21,224.8999938964844,504.239990234375,174.97999572753906,200.6199951171875,739.0999755859375,6370.169921875
2025-08-22,227.75999450683597,507.2300109863281,177.99000549316406,206.72000122070312,754.7899780273438,6466.91015625
2025-08-25,227.16000366210935,504.260009765625,179.80999755859375,209.16000366210935,753.2999877929688,6439.31982421875
2025-08-26,229.30999755859372,502.0400085449219,181.7700042724609,207.9499969482422,754.0999755859375,6465.93994140625
2025-08-27,230.4900054931641,506.739990234375,181.6000061035156,208.2100067138672,747.3800048828125,6481.39990234375
2025-08-28,232.55999755859372,509.6400146484375,180.1699981689453,212.3699951171875,751.1099853515625,6501.85986328125
2025-08-29,232.13999938964844,506.6900024414063,174.17999267578125,213.52999877929688,738.7000122070312,6460.259765625
2025-09-02,229.72000122070312,505.1199951171875,170.77999877929688,211.9900054931641,735.1099853515625,6415.5400390625
2025-09-03,238.47000122070312,505.3500061035156,170.6199951171875,231.1000061035156,737.0499877929688,6448.259765625
2025-09-04,239.77999877929688,507.9700012207031,171.66000366210938,232.66000366210935,748.6500244140625,6502.080078125
2025-09-05,239.69000244140625,495.0,167.02000427246094,235.1699981689453,752.4500122070312,6481.5
2025-09-08,237.8800048828125,498.2000122070313,168.30999755859375,234.16000366210935,752.2999877929688,6495.14990234375
2025-09-09,234.3500061035156,498.4100036621094,170.75999450683594,239.94000244140625,765.7000122070312,6512.60986328125
2025-09-10,226.7899932861328,500.3699951171875,177.3300018310547,239.55999755859372,751.97998046875,6532.0400390625
2025-09-11,230.02999877929688,501.010009765625,177.1699981689453,240.77999877929688,750.9000244140625,6587.47021484375
2025-09-12,234.07000732421875,509.8999938964844,177.82000732421875,241.3800048828125,755.5900268554688,6584.2900390625
2025-09-15,236.6999969482422,515.3599853515625,177.75,251.75999450683597,764.7000122070312,6615.27978515625
2025-09-16,238.1499938964844,509.0400085449219,174.8800048828125,251.4199981689453,779.0,6606.759765625
2025-09-17,238.9900054931641,510.0199890136719,170.2899932861328,249.8500061035156,775.719970703125,6600.35009765625
2025-09-18,237.8800048828125,508.4500122070313,176.24000549316406,252.3300018310547,780.25,6631.9599609375
2025-09-19,245.5,517.9299926757812,176.6699981689453,255.2400054931641,778.3800048828125,6664.35986328125
2025-09-22,256.0799865722656,514.4500122070312,183.6100006103516,252.8800048828125,765.1599731445312,6693.75
2025-09-23,254.42999267578125,509.2300109863281,178.42999267578125,252.33999633789065,755.4000244140625,6656.919921875
2025-09-24,252.30999755859372,510.1499938964844,176.97000122070312,247.8300018310547,760.6599731445312,6637.97021484375
2025-09-25,256.8699951171875,507.0299987792969,177.69000244140625,246.57000732421875,748.9099731445312,6604.72021484375
2025-09-26,255.4600067138672,511.4599914550781,178.19000244140625,247.17999267578125,743.75,6643.7001953125
2025-09-29,254.42999267578125,514.5999755859375,181.8500061035156,244.3600006103516,743.4000244140625,6661.2099609375
2025-09-30,254.6300048828125,517.9500122070312,186.5800018310547,243.5500030517578,734.3800048828125,6688.4599609375
2025-10-01,255.4499969482422,519.7100219726562,187.2400054931641,245.5399932861328,717.3400268554688,6711.2001953125
2025-10-02,257.1300048828125,515.739990234375,188.88999938964844,246.42999267578125,727.0499877929688,6715.35009765625
2025-10-03,258.0199890136719,517.3499755859375,187.6199951171875,246.4499969482422,710.5599975585938,6715.7900390625
2025-10-06,256.69000244140625,528.5700073242188,185.5399932861328,251.50999450683597,715.6599731445312,6740.27978515625
2025-10-07,256.4800109863281,523.97998046875,185.0399932861328,247.1300048828125,713.0800170898438,6714.58984375
2025-10-08,258.0599975585937,524.8499755859375,189.1100006103516,245.4600067138672,717.8400268554688,6753.72021484375
2025-10-09,254.0399932861328,522.4000244140625,192.57000732421875,242.2100067138672,733.510009765625,6735.10986328125
2025-10-10,245.2700042724609,510.9599914550781,183.16000366210935,237.4900054931641,705.2999877929688,6552.509765625
2025-10-13,247.66000366210935,514.0499877929688,188.32000732421875,244.63999938964844,715.7000122070312,6654.72021484375
2025-10-14,247.7700042724609,513.5700073242188,180.02999877929688,246.19000244140625,708.6500244140625,6644.31005859375
2025-10-15,249.33999633789065,513.4299926757812,179.8300018310547,251.7100067138672,717.5499877929688,6671.06005859375
2025-10-16,247.4499969482422,511.6099853515625,181.80999755859372,251.8800048828125,712.0700073242188,6629.06982421875
2025-10-17,252.2899932861328,513.5800170898438,183.22000122070312,253.7899932861328,716.9199829101562,6664.009765625
2025-10-20,262.239990234375,516.7899780273438,182.63999938964844,257.0199890136719,732.1699829101562,6735.1298828125
2025-10-21,262.7699890136719,517.6599731445312,181.16000366210935,251.33999633789065,733.27001953125,6735.35009765625
2025-10-22,258.45001220703125,520.5399780273438,180.27999877929688,252.52999877929688,733.4099731445312,6699.39990234375
2025-10-23,259.5799865722656,520.5599975585938,182.16000366210935,253.72999572753903,734.0,6738.43994140625
2025-10-24,262.82000732421875,523.6099853515625,186.25999450683597,260.510009765625,738.3599853515625,6791.68994140625
2025-10-27,268.8099975585937,531.52001953125,191.4900054931641,269.92999267578125,750.8200073242188,6875.16015625
2025-10-28,269.0,542.0700073242188,201.02999877929688,268.42999267578125,751.4400024414062,6890.89013671875
2025-10-29,269.70001220703125,541.5499877929688,207.0399932861328,275.1700134277344,751.6699829101562,6890.58984375
