Portfolio,AAPL,GOOG,META,Total_Return,Annualized_Return,Volatility,Sharpe_Ratio,Maximum_Drawdown,Final_Wealth
Equal_Weight,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05754542554576436,0.341435862866011,0.2476717744039152,1.307930558379899,-0.12390960008320506,1.0575454255457644
Max_40,0.40000000000000785,0.40000000000000785,0.19999999999998436,0.05066622088921302,0.2962537972849335,0.2265113670529316,1.2571394021997866,-0.1201410063560665,1.050666220889213
Max_50,0.5000000000000021,0.49999999999999795,0.0,0.03938833933322394,0.22485212889728645,0.21705881442753397,1.0411219131109133,-0.11473787032840366,1.039388339333224
Max_75,0.25000000000000216,0.7499999999999979,0.0,-0.009664533263763375,-0.04970762093844827,0.24653884694804074,-0.08633559426316631,-0.1328286193722935,0.9903354667362366
Max_100,0.20768439186037754,0.7923156081396223,0.0,-0.017920173685002982,-0.09056712962957059,0.2550507607814427,-0.24755291753367983,-0.13754383166758166,0.982079826314997
