Date,Adj Close,Close,High,Low,Open,Volume
2025-07-21,171.15203857421875,171.3800048828125,173.3800048828125,171.0,172.75,123126100
2025-07-22,166.80783081054688,167.02999877929688,171.38999938964844,164.5800018310547,171.33999633789062,193114300
2025-07-23,170.5528564453125,170.77999877929688,171.25999450683594,167.97000122070312,169.52999877929688,154082200
2025-07-24,173.50892639160156,173.74000549316406,173.8300018310547,171.3000030517578,172.44000244140625,128984600
2025-07-25,173.26922607421875,173.5,174.72000122070312,172.9600067138672,173.61000061035156,122316800
2025-07-28,176.51490783691406,176.75,177.0,173.97000122070312,174.02000427246094,140023500
2025-07-29,175.2765350341797,175.50999450683594,179.3800048828125,175.02000427246094,177.9600067138672,154077500
2025-07-30,179.03155517578125,179.27000427246094,179.88999938964844,176.0399932861328,176.50999450683594,174312200
2025-07-31,177.6334228515625,177.8699951171875,183.3000030517578,175.92999267578125,182.89999389648438,221685400
2025-08-01,173.4889373779297,173.72000122070312,176.5399932861328,170.88999938964844,174.08999633789062,204529000
2025-08-04,179.7605743408203,180.0,180.1999969482422,174.52000427246094,175.16000366210938,148174600
2025-08-05,178.02288818359375,178.25999450683594,180.25999450683594,175.89999389648438,179.6199951171875,156407600
2025-08-06,179.1813507080078,179.4199981689453,179.89999389648438,176.25,176.3300018310547,137192300
2025-08-07,180.52957153320312,180.77000427246094,183.8800048828125,178.8000030517578,181.57000732421875,151878400
2025-08-08,182.4569854736328,182.6999969482422,183.3000030517578,180.39999389648438,181.5500030517578,123396700
2025-08-11,181.81784057617188,182.05999755859375,183.83999633789062,180.25,182.0500030517578,138323200
2025-08-12,182.9163818359375,183.16000366210938,184.47999572753906,179.4600067138672,182.9600067138672,145485700
2025-08-13,181.3484649658203,181.58999633789062,183.97000122070312,179.35000610351562,182.6199951171875,179871700
2025-08-14,181.77789306640625,182.02000427246094,183.02000427246094,179.4600067138672,179.75,129554000
2025-08-15,180.20997619628906,180.4499969482422,181.89999389648438,178.0399932861328,181.8800048828125,156602200
2025-08-18,181.7678985595703,182.00999450683594,182.94000244140625,180.58999633789062,180.60000610351562,132008000
2025-08-19,175.40638732910156,175.63999938964844,182.5,175.49000549316406,182.42999267578125,185229200
2025-08-20,175.1667022705078,175.39999389648438,176.0,168.8000030517578,175.1699981689453,215142700
2025-08-21,174.7472381591797,174.97999572753906,176.89999389648438,173.80999755859375,174.85000610351562,140040900
2025-08-22,177.7532501220703,177.99000549316406,178.58999633789062,171.1999969482422,172.61000061035156,172789400
2025-08-25,179.57083129882812,179.80999755859375,181.91000366210938,176.57000732421875,178.35000610351562,163012800
2025-08-26,181.52822875976562,181.77000427246094,182.38999938964844,178.80999755859375,180.05999755859375,168688200
2025-08-27,181.35845947265625,181.60000610351562,182.49000549316406,179.10000610351562,181.97999572753906,235518900
2025-08-28,179.9303436279297,180.1699981689453,184.47000122070312,176.41000366210938,180.82000732421875,281787800
2025-08-29,173.94830322265625,174.17999267578125,178.14999389648438,173.14999389648438,178.11000061035156,243257900
2025-09-02,170.5528564453125,170.77999877929688,172.3800048828125,167.22000122070312,170.0,231164900
2025-09-03,170.39305114746094,170.6199951171875,172.41000366210938,168.8800048828125,171.05999755859375,164424900
2025-09-04,171.43167114257812,171.66000366210938,171.86000061035156,169.41000366210938,170.57000732421875,141670100
2025-09-05,166.7978515625,167.02000427246094,169.02999877929688,164.07000732421875,168.02999877929688,224441400
2025-09-08,168.0861358642578,168.30999755859375,170.9600067138672,167.35000610351562,167.5500030517578,163769100
2025-09-09,170.53286743164062,170.75999450683594,170.97999572753906,166.74000549316406,169.08999633789062,157548400
2025-09-10,177.09414672851562,177.3300018310547,179.2899932861328,175.47000122070312,176.63999938964844,226852000
2025-09-11,176.94430541992188,177.1699981689453,180.27999877929688,176.47999572753906,179.67999267578125,151159300
2025-09-12,177.593505859375,177.82000732421875,178.60000610351562,176.4499969482422,177.77000427246094,124911000
2025-09-15,177.52357482910156,177.75,178.85000610351562,174.50999450683594,175.6699981689453,147061600
2025-09-16,174.65724182128906,174.8800048828125,177.5,174.3800048828125,177.0,140737800
2025-09-17,170.0730743408203,170.2899932861328,173.1999969482422,168.41000366210938,172.63999938964844,211843800
2025-09-18,176.01551818847656,176.24000549316406,177.10000610351562,172.9600067138672,173.97999572753906,191763300
2025-09-19,176.4449462890625,176.6699981689453,178.0800018310547,175.17999267578125,175.77000427246094,237182100
2025-09-22,183.37612915039062,183.61000061035156,184.5500030517578,174.7100067138672,175.3000030517578,269637000
2025-09-23,178.2027130126953,178.42999267578125,182.4199981689453,176.2100067138672,181.97000122070312,192559600
2025-09-24,176.74456787109375,176.97000122070312,179.77999877929688,175.39999389648438,179.77000427246094,143564100
2025-09-25,177.4636688232422,177.69000244140625,180.25999450683594,173.1300048828125,174.47999572753906,191586700
2025-09-26,177.96302795410156,178.19000244140625,179.77000427246094,174.92999267578125,178.1699981689453,148573700
2025-09-29,181.6183624267578,181.85000610351562,184.0,180.32000732421875,180.42999267578125,193063500
2025-09-30,186.3423309326172,186.5800018310547,187.35000610351562,181.47999572753906,182.0800018310547,236981000
2025-10-01,187.0015106201172,187.24000549316406,188.13999938964844,183.89999389648438,185.24000549316406,173844900
2025-10-02,188.64939880371094,188.88999938964844,191.0500030517578,188.05999755859375,189.60000610351562,136805800
2025-10-03,187.38099670410156,187.6199951171875,190.36000061035156,185.3800048828125,189.19000244140625,137596900
2025-10-06,185.3036651611328,185.5399932861328,187.22999572753906,183.3300018310547,185.5,157678100
2025-10-07,184.80429077148438,185.0399932861328,189.05999755859375,184.0,186.22999572753906,140088000
2025-10-08,188.86911010742188,189.11000061035156,189.60000610351562,186.5399932861328,186.57000732421875,130168900
2025-10-09,192.32470703125,192.57000732421875,195.3000030517578,191.05999755859375,192.22999572753906,182997200
2025-10-10,182.92669677734375,183.16000366210938,195.6199951171875,182.0500030517578,193.50999450683594,268774400
2025-10-13,188.08013916015625,188.32000732421875,190.11000061035156,185.9600067138672,187.97000122070312,153482800
2025-10-14,179.80067443847656,180.02999877929688,184.8000030517578,179.6999969482422,184.77000427246094,205641400
2025-10-15,179.60093688964844,179.8300018310547,184.8699951171875,177.2899932861328,184.8000030517578,214450500
2025-10-16,181.57839965820312,181.80999755859375,183.27999877929688,179.77000427246094,182.22999572753906,179723300
2025-10-17,182.9866180419922,183.22000122070312,184.10000610351562,179.75,180.17999267578125,173135200
2025-10-20,182.4073486328125,182.63999938964844,185.1999969482422,181.72999572753906,183.1300048828125,128544700
