Date,Adj Close,Close,High,Low,Open,Volume
2025-07-28,715.28564453125,717.6300048828125,724.739990234375,712.6799926757812,715.2000122070312,8715700
2025-07-29,697.7132568359375,700.0,724.469970703125,699.9099731445312,720.0,13267000
2025-07-30,692.9389038085938,695.2100219726562,708.5,691.2000122070312,708.0900268554688,27077300
2025-07-31,770.913330078125,773.4400024414062,784.75,765.510009765625,775.2000122070312,38831100
2025-08-01,747.5598754882812,750.010009765625,766.0,745.3099975585938,760.72998046875,19028700
2025-08-04,773.833740234375,776.3699951171875,776.8499755859375,758.4099731445312,760.0,15801700
2025-08-05,760.9659423828125,763.4600219726562,783.1300048828125,763.0,776.4500122070312,11640300
2025-08-06,769.4680786132812,771.989990234375,773.6400146484375,760.4600219726562,770.0,9733900
2025-08-07,759.3412475585938,761.8300170898438,775.0,759.5499877929688,773.489990234375,9019700
2025-08-08,766.786865234375,769.2999877929688,769.9000244140625,758.5800170898438,762.75,7320800
2025-08-11,763.3679809570312,765.8699951171875,773.4600219726562,764.6699829101562,770.0800170898438,7612000
2025-08-12,787.4192504882812,790.0,793.6699829101562,772.4299926757812,773.0,14563100
2025-08-13,777.5316772460938,780.0800170898438,795.4600219726562,778.22998046875,791.1500244140625,8811800
2025-08-14,779.5748901367188,782.1300048828125,787.8099975585938,772.510009765625,777.8800048828125,8116200
2025-08-15,782.664794921875,785.22998046875,796.25,780.8200073242188,784.1500244140625,13375400
2025-08-18,764.8631591796875,767.3699951171875,775.8099975585938,756.5599975585938,775.0900268554688,16513700
2025-08-19,749.0250244140625,751.47998046875,767.1699829101562,749.3599853515625,767.1199951171875,12286700
2025-08-20,745.2772827148438,747.719970703125,750.2000122070312,731.0,747.5700073242188,11898200
2025-08-21,736.6854858398438,739.0999755859375,745.5,733.1099853515625,744.7100219726562,8876300
2025-08-22,752.32421875,754.7899780273438,756.9000244140625,734.3900146484375,739.22998046875,10612700
2025-08-25,750.839111328125,753.2999877929688,758.8800048828125,750.1300048828125,754.8200073242188,6861200
2025-08-26,751.636474609375,754.0999755859375,754.8699951171875,747.9400024414062,750.7999877929688,7601800
2025-08-27,744.9384765625,747.3800048828125,754.1500244140625,742.8400268554688,752.2999877929688,8315400
2025-08-28,748.65625,751.1099853515625,753.0499877929688,740.7999877929688,744.0,7468000
2025-08-29,736.286865234375,738.7000122070312,747.1400146484375,735.3499755859375,745.280029296875,9070500
2025-09-02,732.7085571289062,735.1099853515625,736.0,721.72998046875,726.0399780273438,9350900
2025-09-03,734.6422119140625,737.0499877929688,740.25,733.989990234375,736.0,7699300
2025-09-04,746.2042846679688,748.6500244140625,761.1599731445312,745.8200073242188,748.5700073242188,11439100
2025-09-05,749.9918823242188,752.4500122070312,757.9500122070312,745.030029296875,752.6199951171875,9663400
2025-09-08,749.8423461914062,752.2999877929688,766.510009765625,752.02001953125,756.0,13087800
2025-09-09,763.1985473632812,765.7000122070312,766.2999877929688,753.4299926757812,757.489990234375,10999000
2025-09-10,749.5234375,751.97998046875,765.7000122070312,751.0,765.1300048828125,12478300
2025-09-11,748.4469604492188,750.9000244140625,757.0999755859375,748.3699951171875,754.6500244140625,7923300
2025-09-12,753.1216430664062,755.5900268554688,757.5700073242188,743.760009765625,748.72998046875,8248600
2025-09-15,762.2018432617188,764.7000122070312,774.0700073242188,751.989990234375,757.469970703125,10533800
